SweepName,Response,ConditionValue,NumRows,Slope,SlopeCI_low,SlopeCI_high,Intercept,InterceptCI_low,InterceptCI_high,PSlope,RSquared
kr,Ta_ms,3,1867,5.9865559531536,5.97525339016635,5.99785851614086,0.645803108613793,0.622149856084799,0.669456361142787,0,0.998272509828345
kr,Ta_ms,5,1283,6.0463175013955,6.03476690999635,6.05786809279465,0.370219040781883,0.345697309864835,0.394740771698931,0,0.998784554894564
kr,Ta_ms,7,955,6.05459599928795,6.04319612968622,6.06599586888969,0.248764023179968,0.223970285683925,0.273557760676012,0,0.99912132470781
kr,Ta_ms,9,759,6.04826018711832,6.03740376647075,6.05911660776588,0.192079890281554,0.167874433728837,0.21628534683427,0,0.999365516269952
kr,Tb_ms,3,1867,17.9596678594608,17.925760170499,17.9935755484226,1.93740932584138,1.86644956825434,2.00836908342842,0,0.998272509828345
kr,Tb_ms,5,1283,30.2315875069775,30.1738345499818,30.2893404639733,1.85109520390941,1.7284865493242,1.97370385849463,0,0.998784554894564
kr,Tb_ms,7,955,42.3821719950157,42.3023729078035,42.4619710822278,1.74134816225978,1.56779199978743,1.91490432473213,0,0.99912132470781
kr,Tb_ms,9,759,54.4343416840649,54.3366338982368,54.5320494698929,1.72871901253398,1.51086990355958,1.94656812150839,0,0.999365516269952
phi,Ta_ms,0,1433,5.74470957562253,5.74271542135876,5.74670372988631,0.00190036985801932,-0.00217475608394707,0.00597549579998572,0,0.999955116228251
phi,Ta_ms,0.5,1274,6.04439261903864,6.03290695057183,6.05587828750546,0.369441179196317,0.345093929426787,0.393788428965847,0,0.99880583796463
phi,Ta_ms,1,1106,6.28747154945589,6.26198956569285,6.31295353321894,0.96524186435566,0.909083099548752,1.02140062916257,0,0.995301857893481
phi,Tb_ms,0,1433,28.7235478781127,28.7135771067938,28.7335186494315,0.00950184929009709,-0.010873780419653,0.0298774789998471,0,0.999955116228251
phi,Tb_ms,0.5,1274,30.2219630951932,30.1645347528592,30.2793914375272,1.84720589598158,1.72546964713405,1.96894214482912,0,0.99880583796463
phi,Tb_ms,1,1106,31.4373577472795,31.3099478284643,31.5647676660947,4.8262093217783,4.54541549774377,5.10700314581283,0,0.995301857893481
velocity,Ta_ms,2,3292,6.12832665130898,6.12132560210976,6.1353277005082,0.291539907506546,0.277619758018731,0.305460056994361,0,0.998883545414842
velocity,Ta_ms,4,1624,6.06999549558275,6.05957637764047,6.08041461352503,0.35533789136794,0.333774922137838,0.376900860598042,0,0.998757535619565
velocity,Ta_ms,6,1042,6.01596247308893,6.00279828583095,6.02912666034691,0.391497289639304,0.362912000549445,0.420082578729164,0,0.998705397446164
velocity,Ta_ms,8,762,5.95734227710682,5.94174978379383,5.9729347704198,0.487809311311953,0.45239545502247,0.523223167601436,0,0.998646559131318
velocity,Ta_ms,10,602,5.90820347333947,5.89067839700181,5.92572854967713,0.530984017065915,0.489309184978998,0.572658849152833,0,0.998627691788572
velocity,Tb_ms,2,3292,30.6416332565449,30.6066280105488,30.676638502541,1.45769953753273,1.38809879009365,1.52730028497181,0,0.998883545414842
velocity,Tb_ms,4,1624,30.3499774779138,30.2978818882024,30.4020730676251,1.7766894568397,1.66887461068924,1.88450430299016,0,0.998757535619565
velocity,Tb_ms,6,1042,30.0798123654446,30.0139914291548,30.1456333017345,1.95748644819652,1.81456000274727,2.10041289364577,0,0.998705397446164
velocity,Tb_ms,8,762,29.7867113855341,29.7087489189692,29.864673852099,2.43904655655976,2.26197727511232,2.61611583800721,0,0.998646559131318
velocity,Tb_ms,10,602,29.5410173666973,29.453391985009,29.6286427483857,2.65492008532958,2.44654592489495,2.8632942457642,0,0.998627691788572
